"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"22","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"4",NA,NA,"5",NA,"3","5",NA,NA,NA,"2","2","2",NA,"4",NA,"4","4","5",NA,NA,NA,"1","2","Male","18-29","$0 - $24,999","Some college or Associate degree","Mountain"
"24","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","5",NA,"3",NA,NA,"2",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1",NA,NA,NA,NA,NA,NA,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","East South Central"
"25","Novice","None",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5",NA,NA,"1",NA,"5",NA,"4","4",NA,NA,NA,"1",NA,"4",NA,"3",NA,"4","3","5",NA,NA,NA,"5","4","Male","18-29","$150,000+","Some college or Associate degree","West North Central"
"26","Intermediate","Moderate",NA,"3",NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,"3","3","4",NA,"2",NA,NA,"5",NA,"4","5",NA,"1",NA,"1",NA,"3","3","5","1","5","2","1",NA,NA,NA,"1","3","Male","> 60","$100,000 - $149,999","Graduate degree","East North Central"
"28","Intermediate","High","3","3","3","3","4","4",NA,"4","3","4","4","4","3","4","3",NA,"4",NA,"3","3",NA,"2","4","4",NA,NA,"3","3","3","3","3",NA,"2","4","5",NA,"4","4","3","3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
"29","Intermediate","Moderate",NA,NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4",NA,"5",NA,NA,"5",NA,"4","2","3",NA,"4","2",NA,"4","4","4",NA,"3","4","3",NA,NA,NA,"3","4","Male","> 60","$50,000 - $99,999","Graduate degree","New England"
"30","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"2","3","2","3","2",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,NA,"4",NA,"4",NA,"2","2","5",NA,"3",NA,"3","4","Female","30-44","$50,000 - $99,999","Graduate degree","South Atlantic"
"31","Intermediate","Moderate",NA,"3",NA,NA,NA,"4",NA,"4","4","4",NA,"3","3","3","5",NA,"3","4",NA,"5","3","5","5","4",NA,"3",NA,"4","5","4","4",NA,"5","4","4","3","4",NA,"3","4","Female","30-44","$25,000 - $49,999","Some college or Associate degree","West South Central"
"32","Intermediate","Low","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","3","3","3","3","3","3",NA,"3","3","3","3","3","3",NA,NA,"3","2","3","","","","",""
"33","Advanced","High",NA,NA,NA,NA,NA,NA,NA,"4","4",NA,NA,NA,"3","5","4",NA,"3",NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,"3",NA,"5",NA,NA,NA,NA,NA,"4",NA,"4",NA,"Male","> 60","$150,000+","Some college or Associate degree","New England"
"34","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"4",NA,NA,"4",NA,"4","3",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","2","5",NA,NA,NA,"4","3","Male","18-29","$25,000 - $49,999","Some college or Associate degree","East North Central"
"35","Novice","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,NA,NA,NA,NA,"Male","30-44","$25,000 - $49,999","High school degree","Pacific"
"36","Intermediate","Moderate",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","3","4",NA,"3",NA,NA,"3",NA,"4","4",NA,NA,NA,NA,"3",NA,NA,"4",NA,"4","3","3",NA,"4",NA,NA,"3","Male","45-60","$25,000 - $49,999","Bachelor degree","East North Central"
"37","Intermediate","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5",NA,NA,NA,NA,"4",NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,"5",NA,"4","2",NA,NA,NA,NA,NA,"3","Female","45-60","$0 - $24,999","Bachelor degree","East North Central"
"38","Intermediate","Low",NA,"4","4","5",NA,"4","3","3","3","4",NA,"3","4","5","4",NA,"2",NA,"3","5",NA,"5","5","4",NA,"5","1","2","4","4","4",NA,"3","3",NA,NA,"4",NA,NA,"4","Male","18-29","$150,000+","Some college or Associate degree","South Atlantic"
"39","Intermediate","Low",NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,NA,NA,"2","1","1",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,"3",NA,NA,"4",NA,"3",NA,"5","3","4",NA,"3",NA,NA,"2","Male","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"40","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"2","5","3",NA,"4",NA,NA,"4",NA,"4","3",NA,NA,NA,NA,NA,"4",NA,"3",NA,"3","4","3",NA,"4","3","3","1","Female","45-60","$150,000+","Some college or Associate degree","Middle Atlantic"
"41","Intermediate","Low",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"3",NA,"2","5","3",NA,NA,NA,NA,NA,"Male","30-44","$100,000 - $149,999","Graduate degree","Pacific"
"42","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","> 60","$0 - $24,999","Some college or Associate degree","Pacific"
"43","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"44","Advanced","High","5","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","5",NA,"5","5","5",NA,"4","4","5","5","4","5","4","4","4","4","5","4","5","5","4","Male","> 60","$150,000+","High school degree","South Atlantic"
"45","Intermediate","Moderate","3",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4",NA,"3",NA,NA,"5",NA,"4","4","4","2",NA,NA,"1","4","4","3",NA,"3","2","4","4","3",NA,"1","3","Male","18-29","$0 - $24,999","Bachelor degree","West South Central"
"46","Novice","Moderate",NA,"5",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"1","3","1",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"3",NA,"3",NA,"5","2","4",NA,NA,NA,"4","4","Female","45-60","","Bachelor degree","West North Central"
"47","Intermediate","High",NA,NA,"3","4","1","3",NA,"4",NA,"5",NA,NA,"3","5","3",NA,NA,"4",NA,"5",NA,"4","4","4",NA,"4","4",NA,"4","3","3","3","4","4","4","3","4","4","4",NA,"Female","45-60","","Bachelor degree","South Atlantic"
"48","Intermediate","Low",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"5",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","Female","45-60","","Some college or Associate degree","New England"
"49","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","45-60","$50,000 - $99,999","Graduate degree","New England"
"50","Novice","High",NA,NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,"3","3","1",NA,"3",NA,NA,"4",NA,"3","3",NA,NA,NA,"2",NA,"4",NA,"4",NA,"3","3","2",NA,"3",NA,"2",NA,"Female","45-60","","Graduate degree","South Atlantic"
"51","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","3","4","4",NA,NA,"5",NA,"2","5","5",NA,NA,NA,NA,"5",NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East North Central"
"52","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3",NA,"5",NA,NA,"5",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4",NA,"3","3",NA,NA,"3",NA,"Male","45-60","$50,000 - $99,999","High school degree","New England"
"53","Advanced","High",NA,"3","3","3",NA,"4",NA,NA,"3",NA,NA,NA,NA,"3","2",NA,"5",NA,NA,"5",NA,"5","5",NA,NA,"4","3","4","5","3","3",NA,"4","5","5",NA,"4","5","4","3","Male","45-60","$25,000 - $49,999","Bachelor degree","Mountain"
"54","Intermediate","Moderate",NA,NA,"4","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2",NA,"4",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,"4","4",NA,"3",NA,"4","4","4",NA,NA,NA,"4","2","Female","18-29","","Bachelor degree","South Atlantic"
"55","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"5","Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain"
"56","Novice","High",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2",NA,NA,NA,"4","3",NA,"3","5",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","4","3",NA,NA,"4",NA,NA,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East South Central"
"57","Novice","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2",NA,NA,"3",NA,"5","3",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"2","5",NA,NA,NA,NA,NA,NA,"Female","18-29","","Some college or Associate degree","Pacific"
"58","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,NA,"3",NA,"4",NA,"4","2","4",NA,NA,NA,NA,"3",NA,"3",NA,"4","1","2",NA,"3",NA,NA,"3","Female","18-29","$150,000+","Bachelor degree","East North Central"
"59","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,"4",NA,"4",NA,"4","3","3","3","3","4","3",NA,"4",NA,"3","4",NA,NA,NA,"3",NA,"4",NA,"2",NA,"3","5","5","3","3","3",NA,"3","Female","18-29","$25,000 - $49,999","Bachelor degree","New England"
"60","Novice","Moderate",NA,NA,NA,NA,NA,"4",NA,NA,NA,"3",NA,NA,"3","4","3",NA,"3",NA,NA,"4",NA,"5","4",NA,NA,NA,NA,NA,"4",NA,"5",NA,"4","3","3",NA,NA,NA,NA,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"61","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4",NA,NA,NA,NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"4",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"4","Female","18-29","$25,000 - $49,999","Some college or Associate degree","Mountain"
"63","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","3",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,NA,"3","4","4",NA,"4",NA,"5","3","4",NA,"4",NA,"4","4","Male","> 60","$100,000 - $149,999","Graduate degree","South Atlantic"
"64","Intermediate","Moderate",NA,NA,NA,"4",NA,"4",NA,"3",NA,"3",NA,"3","3","4","4",NA,"4",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,NA,NA,"4","4",NA,"4","3","3",NA,NA,NA,NA,"3","Female","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central"
"65","Novice","Moderate",NA,"3","4",NA,NA,"3",NA,"3","3","3","4",NA,"3","3","4",NA,"4",NA,"2","4","3","4","4","4",NA,"3","3","3","3",NA,"5",NA,"3","4","3","3","3",NA,"3","4","Male","45-60","","High school degree","Middle Atlantic"
"66","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,NA,"4",NA,NA,"3",NA,NA,"3",NA,"4",NA,"4","1","1",NA,NA,NA,NA,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
"67","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"5",NA,"3","4",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","1",NA,NA,NA,NA,NA,NA,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"68","Intermediate","High",NA,"2",NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,NA,"3","3",NA,"3",NA,NA,"3",NA,"4","5",NA,NA,NA,NA,NA,"4",NA,"3","3","5","4","5","3",NA,NA,"3",NA,"Male","18-29","$25,000 - $49,999","High school degree","Pacific"
"69","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,NA,"4","5",NA,NA,NA,NA,"4",NA,"5",NA,NA,"4",NA,NA,NA,NA,"3",NA,"Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain"
"70","Intermediate","High","3","4","4","3",NA,"4",NA,"4",NA,"5",NA,"3","3","4","4",NA,"5","3","3","5",NA,"3","5",NA,NA,"3","4",NA,"3","3","3",NA,"3","5","3","4","4","4",NA,"3","Female","45-60","","Bachelor degree","East North Central"
"71","Novice","Moderate",NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,"2","2",NA,NA,NA,NA,NA,NA,"3","1",NA,"3","1","3",NA,NA,NA,NA,"4","Male","45-60","$150,000+","Graduate degree","East North Central"
"72","Advanced","High",NA,"4","3","3",NA,"4",NA,"4","4","4",NA,"4","2","3","3",NA,"3","4","4","4","3","5","5","3",NA,"3","3","4","4","3","4",NA,"5","4","5","3","4","3","5","4","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain"
"73","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","3",NA,"4",NA,NA,"4",NA,"3","5",NA,NA,"3","3",NA,"3",NA,"5",NA,"5","2","2",NA,NA,NA,NA,"4","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"75","Intermediate","Low",NA,NA,"1",NA,"3",NA,NA,NA,"3",NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,"3",NA,NA,NA,"Female","18-29","","","South Atlantic"
"76","Advanced","High",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5",NA,NA,"4",NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,"5",NA,NA,NA,"4","Female","18-29","$50,000 - $99,999","Bachelor degree","West South Central"
"77","Intermediate","High",NA,NA,"3","2","2",NA,NA,"2","3",NA,NA,NA,"4","3","5",NA,"4","4","4","4",NA,"4","5",NA,NA,NA,"4",NA,"3","3","4",NA,"4","5","5",NA,"3",NA,NA,"3","Male","18-29","$0 - $24,999","High school degree","South Atlantic"
"78","Intermediate","High","3","3","2","3",NA,"3",NA,"3","3","3",NA,"3","3","4","3","3","4",NA,"4","5",NA,"2","5","3",NA,"3","3",NA,"3","3","4","3","2","5","5","5","4","5","4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"79","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","3",NA,NA,NA,NA,"4",NA,"3","1",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3","2",NA,NA,"3",NA,NA,NA,"Male","45-60","","Bachelor degree","South Atlantic"
"80","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"5",NA,"3","4",NA,NA,NA,NA,NA,"4",NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"3","Male","30-44","$100,000 - $149,999","Bachelor degree","East North Central"
"81","Intermediate","High","3","3","3","2",NA,"3",NA,"3","3","3","3","3","3","5","3","3","3","3","2","5",NA,"5","5",NA,"3","3","3","5","5","3","5","3","5","4","5","3","5",NA,"2","3","Male","18-29","$50,000 - $99,999","Bachelor degree",""
"82","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4","3","3","5","3",NA,NA,"3",NA,"3","3","4",NA,"3","3","3",NA,"3",NA,NA,"3","Female","45-60","","Some college or Associate degree","East North Central"
"83","Intermediate","High",NA,"5","3",NA,NA,"5",NA,"3","5","4","4","3","3","4","3",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,"3","3","3","5",NA,"5",NA,"5","3","4",NA,"5",NA,"3","4","Female","45-60","$150,000+","Bachelor degree","Middle Atlantic"
"85","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","2",NA,"2",NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"4",NA,"2",NA,"3",NA,NA,NA,"3",NA,NA,"2","Male","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"86","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,NA,"3",NA,NA,"5",NA,"3","3","3",NA,"3",NA,NA,NA,"Male","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"87","Advanced","High",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","3",NA,"4",NA,"3","5",NA,"4","5",NA,NA,NA,"3","4","4",NA,"2",NA,"4","5","5",NA,"4","4",NA,"3","Female","30-44","$150,000+","Bachelor degree","South Atlantic"
"88","Novice","High",NA,NA,NA,"5","4",NA,NA,NA,NA,NA,"4",NA,"2","3","5",NA,"4",NA,NA,"5",NA,"5","3","4",NA,NA,"3","2","3","4","3",NA,"5","5","4","3",NA,"4","5","3","Male","> 60","$100,000 - $149,999","Graduate degree","Pacific"
"89","Novice","None","2","2","4","3","2","4","2","1","2","3","3","2","5","4","3","4","4","1","1","5","2","4","2","4","3","2","4","3","2","4","5","3","2","2","4","3","1","2","2","3","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"90","Intermediate","Moderate",NA,"2","2",NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","5","3",NA,"4",NA,NA,"4",NA,"2","5",NA,NA,"4","4","3","4","4","5",NA,"4","1","3",NA,"3",NA,NA,"3","Male","> 60","$150,000+","Graduate degree","West South Central"
"91","Intermediate","Moderate",NA,"3","3","3",NA,"3","3","3","3","3",NA,"3","3","4","4",NA,"4","3","2","4","3","4","4",NA,NA,"3","3","3","4","3","4",NA,"4","3","3","3","3",NA,NA,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
"92","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5",NA,"3",NA,NA,"4",NA,"3","3",NA,NA,"3",NA,NA,"3",NA,"4",NA,"3","3",NA,NA,"3",NA,NA,"4","Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"93","Intermediate","Moderate",NA,"4",NA,"3",NA,"3",NA,"3","3","3",NA,"3","3","4","3",NA,"4","3",NA,NA,NA,"3","4",NA,NA,"4","3","3","5","4","3","3","2","3","4","3","4","4","3","3","Female","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"94","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,NA,"2","3","3",NA,NA,NA,NA,"3",NA,"3","4","3",NA,NA,NA,"3","3","3","3",NA,"4","1","3",NA,"3",NA,"3","4","Male","> 60","","Bachelor degree","West South Central"
"95","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,"4","2","3",NA,NA,"2","3","3",NA,"3",NA,"3","3","3",NA,NA,NA,"2",NA,"Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific"
"96","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"4",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,"3","3",NA,"3",NA,"4","3","4",NA,"2","3",NA,NA,"Male","> 60","$0 - $24,999","Some college or Associate degree","South Atlantic"
